X,Y,Chip Name
149,201,SH4T
148,201,SH4T
147,201,SH4T
146,201,SH4T
145,201,SH4T
144,201,SH4T
131,201,SH4T
130,201,SH4T
129,201,SH4T
128,201,SH4T
127,201,SH4T
126,201,SH4T
113,201,SH4T
112,201,SH4T
111,201,SH4T
110,201,SH4T
109,201,SH4T
108,201,SH4T
95,201,SH4T
94,201,SH4T
93,201,SH4T
92,201,SH4T
91,201,SH4T
90,201,SH4T
77,201,SH4T
76,201,SH4T
75,201,SH4T
74,201,SH4T
73,201,SH4T
72,201,SH4T
72,200,SH4T
73,200,SH4T
74,200,SH4T
75,200,SH4T
76,200,SH4T
77,200,SH4T
90,200,SH4T
91,200,SH4T
92,200,SH4T
93,200,SH4T
94,200,SH4T
95,200,SH4T
108,200,SH4T
109,200,SH4T
110,200,SH4T
111,200,SH4T
112,200,SH4T
113,200,SH4T
126,200,SH4T
127,200,SH4T
128,200,SH4T
129,200,SH4T
130,200,SH4T
131,200,SH4T
144,200,SH4T
145,200,SH4T
146,200,SH4T
147,200,SH4T
148,200,SH4T
149,200,SH4T
162,200,SH4T
36,178,SH4T
37,178,SH4T
38,178,SH4T
39,178,SH4T
40,178,SH4T
41,178,SH4T
54,178,SH4T
55,178,SH4T
56,178,SH4T
57,178,SH4T
58,178,SH4T
59,178,SH4T
72,178,SH4T
73,178,SH4T
74,178,SH4T
75,178,SH4T
76,178,SH4T
77,178,SH4T
90,178,SH4T
91,178,SH4T
92,178,SH4T
93,178,SH4T
94,178,SH4T
95,178,SH4T
108,178,SH4T
109,178,SH4T
110,178,SH4T
111,178,SH4T
112,178,SH4T
113,178,SH4T
126,178,SH4T
127,178,SH4T
128,178,SH4T
129,178,SH4T
130,178,SH4T
131,178,SH4T
144,178,SH4T
145,178,SH4T
146,178,SH4T
147,178,SH4T
148,178,SH4T
149,178,SH4T
162,178,SH4T
163,178,SH4T
164,178,SH4T
165,178,SH4T
166,178,SH4T
167,178,SH4T
180,178,SH4T
181,178,SH4T
182,178,SH4T
183,178,SH4T
184,178,SH4T
185,178,SH4T
185,177,SH4T
184,177,SH4T
183,177,SH4T
182,177,SH4T
181,177,SH4T
180,177,SH4T
167,177,SH4T
166,177,SH4T
165,177,SH4T
164,177,SH4T
163,177,SH4T
162,177,SH4T
149,177,SH4T
148,177,SH4T
147,177,SH4T
146,177,SH4T
145,177,SH4T
144,177,SH4T
131,177,SH4T
130,177,SH4T
129,177,SH4T
128,177,SH4T
127,177,SH4T
126,177,SH4T
113,177,SH4T
112,177,SH4T
111,177,SH4T
110,177,SH4T
109,177,SH4T
108,177,SH4T
95,177,SH4T
94,177,SH4T
93,177,SH4T
92,177,SH4T
91,177,SH4T
90,177,SH4T
77,177,SH4T
76,177,SH4T
75,177,SH4T
74,177,SH4T
73,177,SH4T
72,177,SH4T
59,177,SH4T
58,177,SH4T
57,177,SH4T
56,177,SH4T
55,177,SH4T
54,177,SH4T
41,177,SH4T
40,177,SH4T
39,177,SH4T
38,177,SH4T
37,177,SH4T
36,177,SH4T
203,155,SH4T
202,155,SH4T
201,155,SH4T
200,155,SH4T
199,155,SH4T
198,155,SH4T
185,155,SH4T
184,155,SH4T
183,155,SH4T
182,155,SH4T
181,155,SH4T
180,155,SH4T
167,155,SH4T
166,155,SH4T
165,155,SH4T
164,155,SH4T
163,155,SH4T
162,155,SH4T
149,155,SH4T
148,155,SH4T
147,155,SH4T
146,155,SH4T
145,155,SH4T
144,155,SH4T
131,155,SH4T
130,155,SH4T
129,155,SH4T
128,155,SH4T
127,155,SH4T
126,155,SH4T
113,155,SH4T
112,155,SH4T
111,155,SH4T
110,155,SH4T
109,155,SH4T
108,155,SH4T
95,155,SH4T
94,155,SH4T
93,155,SH4T
92,155,SH4T
91,155,SH4T
90,155,SH4T
77,155,SH4T
76,155,SH4T
75,155,SH4T
74,155,SH4T
73,155,SH4T
72,155,SH4T
59,155,SH4T
58,155,SH4T
57,155,SH4T
56,155,SH4T
55,155,SH4T
54,155,SH4T
41,155,SH4T
40,155,SH4T
39,155,SH4T
38,155,SH4T
37,155,SH4T
36,155,SH4T
23,155,SH4T
22,155,SH4T
21,155,SH4T
20,155,SH4T
19,155,SH4T
18,155,SH4T
18,154,SH4T
19,154,SH4T
20,154,SH4T
21,154,SH4T
22,154,SH4T
23,154,SH4T
36,154,SH4T
37,154,SH4T
38,154,SH4T
39,154,SH4T
40,154,SH4T
41,154,SH4T
54,154,SH4T
55,154,SH4T
56,154,SH4T
57,154,SH4T
58,154,SH4T
59,154,SH4T
72,154,SH4T
73,154,SH4T
74,154,SH4T
75,154,SH4T
76,154,SH4T
77,154,SH4T
90,154,SH4T
91,154,SH4T
92,154,SH4T
93,154,SH4T
94,154,SH4T
95,154,SH4T
108,154,SH4T
109,154,SH4T
