Test Number,Test Name,Variant,Low Limit,High Limit,Software Bin(Embedded in Code),Comments
503,IVIO_ODFT_State00,26,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,56,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,86,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,27,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,57,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,87,100,375,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,29,100,450,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,59,100,450,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,89,100,450,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,37,100,450,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,67,100,450,18-REP,Dynamic Limit based on Variant
503,IVIO_ODFT_State00,97,100,450,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,26,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,56,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,86,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,27,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,57,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,87,375,1200,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,29,450,1300,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,59,450,1300,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,89,450,1300,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,37,450,1300,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,67,450,1300,18-REP,Dynamic Limit based on Variant
504,IVIO_ODFT_State01,97,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,26,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,56,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,86,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,27,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,57,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,87,375,1200,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,29,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,59,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,89,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,37,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,67,450,1300,18-REP,Dynamic Limit based on Variant
505,IVIO_ODFT_State02,97,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,26,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,56,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,86,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,27,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,57,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,87,375,1200,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,29,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,59,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,89,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,37,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,67,450,1300,18-REP,Dynamic Limit based on Variant
506,IVIO_ODFT_State04,97,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,26,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,56,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,86,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,27,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,57,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,87,375,1200,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,29,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,59,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,89,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,37,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,67,450,1300,18-REP,Dynamic Limit based on Variant
507,IVIO_ODFT_State08,97,450,1300,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,26,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,56,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,86,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,27,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,57,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,87,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,29,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,59,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,89,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,37,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,67,1200,2500,18-REP,Dynamic Limit based on Variant
508,IVIO_ODFT_State15,97,1200,2500,18-REP,Dynamic Limit based on Variant
