TestName,Key,TestNumber,Low Limit,High Limit,Units,TestStand Test Name,,,
IVIOKGD,Start,1,0,3,uA,IVSU_LowPower_Initial,,,
,End,2,65,85,uA,IVSU_State0x00_Initial,,,
,,,,,,,,,`
Initial_States,Start,1,65,85,uA,IVSU_State0x0F_Initial,,,
,End,2,65,85,uA,IVSU_State0xF0_Initial,,,
,,,,,,,,,
Rfree_Initial,Start,1,235K,285k,ohm,RF1,,,
,,2,235K,285k,ohm,RF2,,,
,,3,235K,285k,ohm,RF3,,,
,End,4,0,100,ohm,RF4,,,
,,,,,,,,,
Ron_Initial,Start,1,0.35,3,ohm,RF1,,,
,,2,0.35,3,ohm,RF2,,,
,,3,0.35,3,ohm,RF3,,,
,End,4,0,100,ohm,RF4,,,
,,,,,,,,,
Ron_Conditioned,Start,1,0.8,1.6,ohm,RF1,,,
,,2,0.8,1.6,ohm,RF2,,,
,,3,0.8,1.6,ohm,RF3,,,
,End,4,0,100,ohm,RF4,,,
,,,,,,,,,
Butterfly,Start,55,33,39,V,R_VPI,,,
,End,56,30,39,V,R_VRL,,,
,,,,,,,,,
Rshunt,Start,1,1,5,ohm,Rshunt_RF1,,,
,,2,1,5,ohm,Rshunt_RF2,,,
,,3,1,5,ohm,Rshunt_RF3,,,
,End,4,0,100,ohm,Rshunt_RF4,,,
,,,,,,,,,
Guardian,Start,1,1,5,ohm,GuardianPilot_On,,,
,End,2,235k,285k,ohm,GuardianPilot_Off,,,
,,,,,,,,,
Final_States,Start,1,50,100,uA,IVSU_State0x0F_Final,,,
,End,2,50,100,uA,IVSU_State0xF0_Final,,,
,,,,,,,,,
Rfree_Final,Start,1,235k,285k,ohm,RF1,,,
,,2,235k,285k,ohm,RF2,,,
,,3,235k,285k,ohm,RF3,,,
,End,4,0,100,ohm,RF4,,,
,,,,,,,,,
,,,,,,,,,
Reverse_IVIOKGD,Start,1,65,85,uA,IVSU_State0x00_Final,,,
,End,2,0,3,uA,IVSU_LowPower_Final,,,
