<SemiconductorModuleTests>																
	<SequenceName>	<StepName>	<StepId>	<TestName>	<TestNumber>	<Pin>	<LowLimitExpression>	<HighLimitExpression>	<ComparisonType>	<ScalingFactor>	<Units>	<EvaluationType>	<FailBin>	<PublishedDataId>	<TestDataSource>	<ExportLocation>
	ProcessSetup	Add Sessions to Pin Map_Module Screen	ID#:Ud2F11bYFkCTr+IH2FH0tD		No Tests											
	ProcessSetup	"SMU - Configure VIO_Bridge, VSU"	ID#:appbPX/u0kiBPemG6wlmQD		No Tests											
	ProcessSetup	SMU - Configure SMU_Throw Measurment	ID#:sCuvBptzTkmyWWHylBD/nB		No Tests											
	ProcessSetup	SMU - Configure SMU_Guardian/Pilot Measurment	ID#:M2V1gK774kCW5MGQDOt0PA		No Tests											
	ProcessSetup	HSDIO - Configure for Waveform Generation	ID#:sWexDje2xUK5qQeasLfdUB		No Tests											
	ProcessSetup	HSDIO - Write Waveforms for Bridge Initialization	ID#:E7PJ7hGNcEKKeqzYvietdC		No Tests											
	ProcessSetup	HSDIO-Configure PFI Channels for Relay Control	ID#:KMlJExroRUanxgIuWsdrCB		No Tests											
	ProcessSetup	HSDIO - Commit settings to hardware	ID#:P0E1M1XJ9kabhU+I1EfyYB		No Tests											
	MainSequence	TEST: Detect Valid USID's	ID#:5PJ/xP+BxUiaA2HS/+ZmZA	Valid_USID	1		0	1	GELE			Numeric Limit	4	Valid_USID		
	MainSequence	Configure Measurement Path--Series and Shunt	ID#:UFUkMMis2UmyJwpTxZ0+AD		No Tests											
	MainSequence	TEST: IVIO (IVSU) KGD	ID#:0SPdvJE0tEmag5u214OqKB	IVSU_LowPower_Initial	1	VSU	0	6	GELE		uA	Numeric Limit	14	IVSU_LowPower_Initial		
	MainSequence	TEST: IVIO (IVSU) KGD	ID#:0SPdvJE0tEmag5u214OqKB	IVSU_State0x00_Initial	2	VSU	50	100	GELE		uA	Numeric Limit	15	IVSU_State0x00_Initial		
